order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=33 SL=1.18842000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=33 SL=1.18842000 TP=1.16842000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=21 SL=1.16850000 TP=1.18794000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=34 SL=1.18850000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=34 SL=1.18850000 TP=1.16850000
order | Expert_Trader @ EURUSD,30 | Order sent: Buy EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=35 SL=1.16857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=35 SL=1.16857000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=23 SL=1.16861000 TP=1.18806000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=36 SL=1.18861000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=36 SL=1.18861000 TP=1.16861000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=37 SL=1.18852000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=37 SL=1.18852000 TP=1.16852000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=38 SL=1.18862000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=38 SL=1.18862000 TP=1.16862000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=22 SL=1.16878000 TP=1.18818000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=39 SL=1.18878000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=39 SL=1.18878000 TP=1.16878000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=40 SL=1.18873000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=40 SL=1.18873000 TP=1.16873000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=25 SL=1.16894000 TP=1.18831000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=24 SL=1.16894000 TP=1.18843000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=20 SL=1.16894000 TP=1.18843000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=19 SL=1.16894000 TP=1.18844000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=41 SL=1.18894000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=41 SL=1.18894000 TP=1.16894000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=42 SL=1.18883000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=42 SL=1.18883000 TP=1.16883000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=43 SL=1.18889000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=43 SL=1.18889000 TP=1.16889000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=44 SL=1.18873000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=44 SL=1.18873000 TP=1.16873000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=45 SL=1.18882000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=45 SL=1.18882000 TP=1.16882000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=21 SL=1.16902000 TP=1.18794000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=14 SL=1.16902000 TP=1.18845000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=46 SL=1.18902000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=46 SL=1.18902000 TP=1.16902000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=47 SL=1.18896000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=47 SL=1.18896000 TP=1.16896000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=35 SL=1.16921000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=23 SL=1.16921000 TP=1.18806000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=16 SL=1.16921000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=15 SL=1.16921000 TP=1.18869000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=48 SL=1.18921000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=48 SL=1.18921000 TP=1.16921000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=49 SL=1.18908000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=49 SL=1.18908000 TP=1.16908000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=50 SL=1.18915000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=50 SL=1.18915000 TP=1.16915000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=51 SL=1.18896000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=51 SL=1.18896000 TP=1.16896000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=22 SL=1.16932000 TP=1.18818000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=52 SL=1.18932000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=52 SL=1.18932000 TP=1.16932000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=53 SL=1.18922000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=53 SL=1.18922000 TP=1.16922000
